Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Slaves died during middle passage
48187,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1754,234,
48188,NS dos Remédios e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1753,,
48189,NS Mãe de Deus e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1753,,
48192,NS da Atalaia e Bom Jesus das Portas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1754,,
48194,NS da Boa Viagem e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1754,,
48195,NS da Conceição de Máxima S Inácio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1756,218,
48197,NS da Mãe de Deus e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1754,,
48198,NS da Penha da França e Santana,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1754,,
48200,NS do Carmo e Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1754,,
48201,NS do Monte do Carmo e S Francisco Xavier,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1754,,
48204,NS de Atalaia e Bom Jesus das Portas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1756,305,
48207,NS da Mãe de Deus,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1755,,
48208,NS da Penha da França e Santana,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1755,,
48210,NS de Nazaré S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1755,307,
48211,NS do Carmo e S João Batista,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1755,,
48212,NS do Monte do Carmo e S Francisco Xavier,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1755,,
48213,NS dos Remédios e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1755,,
48214,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1755,,
48215,Bom Jesus e o Corpo Santo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48216,NS da Boa Viagem e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48218,NS da Conceição e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1757,205,
48220,NS de Guadalupe e Sr Bom Jesus dos Navegantes,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48221,NS de Oliveira e Três Reis Magos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1756,,
48222,NS do Monte do Carmo e Sr Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48224,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1757,179,
48225,NS dos Remédios e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48227,S Teresa de Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1757,296,
48228,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1756,,
48230,NS da Boa Viagem e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48231,NS da Guia Santana e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48232,NS do Carmo e S João Batista,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48233,NS do Monte do Carmo S Francisco Xavier,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48234,NS do Pilar S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48237,NS S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1758,,
48238,NS da Atalaia e Bom Jesus das Portas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1757,,
48241,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1757,,
48242,NS ______ Vitória e Mar,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1759,,
48243,NS da Boa Viagem e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,320,5
48245,NS da Conceição da Ponte e Senhor Bom Jesus,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,331,7
48246,NS da Conceição e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1759,,
48248,NS da Conceição S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48250,NS de Guadalupe e Sr Bom Jesus dos Navegantes,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48251,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48252,NS do Monte do Carmo e S Francisco,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48253,NS da Penha da França e Santana,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1759,,
48254,NS de Guadalupe e Sr Bom Jesus dos Navegantes,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,222,14
48255,NS do Monte do Carmo e Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,233,9
48256,NS do Pilar S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,228,2
48257,NS do Rosario e Sr Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48258,NS dos Remédios e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1759,,
48260,S José S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1759,334,
48261,S Teresa de Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1759,,
48262,NS ____ Bom Jesus das Portas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1760,,
48263,NS _____ e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48265,NS da Boa Viagem e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48266,NS da Conceição Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48268,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1760,236,
48269,NS da Conceição e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1760,,
48270,NS da Conceição S José e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48271,NS da Conceição S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1760,,
48272,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48274,NS do Monte do Carmo e Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48275,NS dos Remédios,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1760,,
48276,NS e S Teresa de Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1760,246,
48279,NS do Rosario S Antonio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1761,,
48280,S Domingos,Lisbon,Luanda,"Pernambuco, port unspecified",1761,,
48281,S Teresa de Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1761,238,
48282,S Vicente S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1761,,
48283,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1761,,
48284,Santíssimo Sacramento e Todos os Santos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1761,,
48285,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1761,,
48289,S André S Felipe e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1764,,
48294,NS da Boa Viagem e Santana,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1766,,
48296,NS da Conceição e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1767,,
48298,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1767,,
48301,S João Batista e Santana,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1768,262,
48304,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1768,,
48305,NS da Conceição da Ponte S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1768,,
48306,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1768,,
48307,NS da Penha da França S Francisco e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1768,,
48308,NS da Barroquinha,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1768,,
48309,NS do Pilar e S Luzia,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1768,,
48310,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1768,,
48312,NS da Conceição e Boa Viagem,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1769,,
48313,,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1770,,
48314,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1770,,
48315,NS da Penha da França S Francisco e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48317,NS do Rosario e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48318,NS do Rosario e S Antônio _________,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48320,S Antônio das Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48321,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1770,378,26
48322,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48323,NS de Guadalupe e Sr Bom Jesus dos Navegantes,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1770,,
48324,NS da Conceição da Ponte S José e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1775,431,
48325,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1774,,
48326,NS da Boa Viagem,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1774,,
48327,NS do Crato e S Roque,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1774,,
48328,NS do Pilar e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1774,,
48329,NS do Rosario S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1774,410,
48331,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1774,,
48332,S Antônio e Divino Espírito Santo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,224,30
48333,NS da Conceição e Todos os Santos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1781,,
48335,NS da Natividade e S Francisco Xavier,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,,
48336,NS da Boa Viagem e Santana,Rio de Janeiro province,Luanda,Rio de Janeiro,1782,,
48337,NS da Guia S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1781,,
48338,NS de Nazaré S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1782,292,59
48339,NSr do Bonfim e NS dos Prazeres,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1781,,
48340,NS da Penha e Sr Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,97,3
48341,NS do Pilar e S José,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1781,226,30
48342,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1781,274,31
48343,Sultana,Lisbon,Benguela,"Pernambuco, port unspecified",1781,,
48345,NS da Conceição e Todos os Santos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1782,,
48346,NS da Conceição e S Francisco,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1782,,
48347,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1782,,
48348,NS da Glória Santana e Almas,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1782,,
48350,NS da Penha e Sr Bom Jesus das Portas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,,
48352,NS do Monte do Carmo S João Nepomuceno S,Lisbon,Luanda,Rio de Janeiro,1782,,
48353,NS do Pilar S José e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1782,,
48354,NS do Pilar e S José,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1782,,
48355,NS dos Homens e NS dos Prazeres,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,,
48357,Santíssimo Sacramento e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1782,,
48358,Bom Jesus do Bonfim e NS da Conceição,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1783,,
48359,Divino Espírito Santo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1783,,
48360,NS da Conceição e Todos os Santos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1783,,
48361,NS da Assunção S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1783,,
